Date,Time,Pre_GC90,Pre_GC150,Pre_Outflow,Post_GC90,Post_GC150,Post_Outflow,Obs
10-Jul-22,1:05,0,29.8,29.8,2.3,29.8,32.1,
10-Jul-22,1:10,0,29.8,29.8,2,29.8,31.8,
10-Jul-22,1:15,0,29.8,29.8,1.7,29.8,31.5,56.3
10-Jul-22,1:20,0,29.8,29.8,1.5,29.8,31.3,
10-Jul-22,1:25,0,29.8,29.8,1.4,29.8,31.2,
10-Jul-22,1:30,0,29.8,29.8,1.2,29.8,31,55.6
10-Jul-22,1:35,0,29.8,29.8,1.1,29.8,30.9,
10-Jul-22,1:40,0,29.8,29.8,1,29.8,30.8,
10-Jul-22,1:45,0,29.8,29.8,1,29.8,30.8,59.4
10-Jul-22,1:50,0,29.8,29.8,0.9,29.8,30.7,
10-Jul-22,1:55,0,29.8,29.8,0.9,29.8,30.7,
10-Jul-22,2:00,0,29.8,29.8,0.9,29.8,30.7,59.4
10-Jul-22,2:05,0,29.8,29.8,0.9,29.8,30.7,
10-Jul-22,2:10,0,29.8,29.8,1,29.8,30.8,
10-Jul-22,2:15,0,29.8,29.8,1,29.8,30.8,57.9
10-Jul-22,2:20,0,29.8,29.8,1,29.8,30.8,
10-Jul-22,2:25,0,29.8,29.8,1,29.8,30.8,
10-Jul-22,2:30,0,29.8,29.8,1,29.8,30.8,57.9
10-Jul-22,2:35,0,29.8,29.8,0.9,29.8,30.7,
10-Jul-22,2:40,0,29.8,29.8,0.9,29.8,30.7,
10-Jul-22,2:45,0,29.8,29.8,0.8,29.8,30.6,56.4
10-Jul-22,2:50,0,29.8,29.8,0.7,29.8,30.5,
10-Jul-22,2:55,0,29.8,29.8,0.5,29.8,30.3,
10-Jul-22,3:00,0,29.8,29.8,0.3,29.8,30.1,55.6
10-Jul-22,3:05,0,29.8,29.8,0.2,29.8,30,
10-Jul-22,3:10,0,29.8,29.8,0.1,29.8,29.9,
10-Jul-22,3:15,0,29.8,29.8,0,29.8,29.8,57.9
10-Jul-22,3:20,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,3:25,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,3:30,0,29.8,29.8,0,29.8,29.8,57.1
10-Jul-22,3:35,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,3:40,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,3:45,0,29.8,29.8,0,29.8,29.8,57.1
10-Jul-22,3:50,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,3:55,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,4:00,0,29.8,29.8,0,29.8,29.8,56.4
10-Jul-22,4:05,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,4:10,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,4:15,0,29.8,29.8,0,29.8,29.8,56.4
10-Jul-22,4:20,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,4:25,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,4:30,0,29.8,29.8,0,29.8,29.8,56.4
10-Jul-22,4:35,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,4:40,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,4:45,0,29.8,29.8,0,29.8,29.8,55.6
10-Jul-22,4:50,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,4:55,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,5:00,0,29.8,29.8,0,29.8,29.8,54.8
10-Jul-22,5:05,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,5:10,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,5:15,0,29.8,29.8,0,29.8,29.8,54.8
10-Jul-22,5:20,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,5:25,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,5:30,0,29.8,29.8,0,29.8,29.8,54.8
10-Jul-22,5:35,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,5:40,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,5:45,0,29.8,29.8,0,29.8,29.8,52.6
10-Jul-22,5:50,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,5:55,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,6:00,0,29.8,29.8,0,29.8,29.8,51.1
10-Jul-22,6:05,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,6:10,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,6:15,0,29.8,29.8,0,29.8,29.8,49.7
10-Jul-22,6:20,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,6:25,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,6:30,0,29.8,29.8,0,29.8,29.8,49.7
10-Jul-22,6:35,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,6:40,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,6:45,0,29.8,29.8,0,29.8,29.8,48.9
10-Jul-22,6:50,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,6:55,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,7:00,0,29.8,29.8,0,29.8,29.8,48.9
10-Jul-22,7:05,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,7:10,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,7:15,0,29.8,29.8,0,29.8,29.8,47.6
10-Jul-22,7:20,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,7:25,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,7:30,0,29.8,29.8,0,29.8,29.8,47.6
10-Jul-22,7:35,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,7:40,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,7:45,0,29.8,29.8,0,29.8,29.8,48.3
10-Jul-22,7:50,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,7:55,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,8:00,0,29.8,29.8,0,29.8,29.8,47.6
10-Jul-22,8:05,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,8:10,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,8:15,0,29.8,29.8,0,29.8,29.8,46.3
10-Jul-22,8:20,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,8:25,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,8:30,0,29.8,29.8,0,29.8,29.8,45.6
10-Jul-22,8:35,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,8:40,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,8:45,0,29.8,29.8,0,29.8,29.8,45.6
10-Jul-22,8:50,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,8:55,0,29.8,29.8,0,29.8,29.8,
10-Jul-22,9:00,0,29.8,29.8,0,29.8,29.8,45
